62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
58,58,82,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
17,29,50,58,82,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
8,17,29,29,50,58,82,62,62,62,62,62,62,62,62,62,62,62,62,62
8,8,17,29,29,29,50,58,82,62,62,62,62,62,62,62,62,62,62,62
8,8,8,17,29,29,29,29,50,58,82,62,62,62,62,62,62,62,62,62
8,8,8,8,17,29,29,29,29,29,50,58,58,82,62,62,62,62,62,62
8,8,8,8,8,17,29,29,29,29,29,29,29,50,58,58,82,62,62,62
8,8,8,8,8,8,17,29,29,29,29,29,29,29,29,29,50,58,58,58
61,61,59,24,8,8,8,17,29,29,29,29,29,29,29,29,29,29,29,19
62,62,80,61,61,59,24,8,17,29,29,29,29,29,29,29,29,29,19,12
62,62,62,62,62,80,61,59,24,17,29,29,29,29,29,29,29,19,12,12
62,62,62,62,62,62,62,80,61,61,61,61,61,61,61,61,61,61,61,61
