71,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,71
69,53,45,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,63
69,53,31,53,53,53,53,53,53,58,66,64,53,53,53,53,53,53,31,63
69,53,31,53,53,53,53,53,53,53,28,53,53,53,45,29,29,29,46,63
69,53,31,53,53,53,53,53,53,53,28,53,53,53,31,53,53,53,53,63
69,53,31,53,53,53,53,53,53,53,53,53,53,60,53,53,53,53,53,63
69,53,31,58,66,66,64,53,53,53,53,53,53,61,53,53,53,53,53,63
69,53,31,53,53,53,53,53,53,53,53,53,53,61,53,53,53,53,53,63
69,53,31,53,53,53,53,58,66,66,66,64,28,61,53,53,53,53,53,63
65,53,31,53,53,53,53,53,28,53,53,53,28,61,53,53,53,53,53,59
41,53,31,53,53,53,53,53,28,53,53,53,28,61,53,53,53,53,53,43
32,41,47,29,29,29,30,53,53,53,53,53,28,61,53,53,53,53,43,36
32,32,41,53,53,53,31,53,53,53,53,53,53,61,53,53,53,43,36,36
70,70,70,70,70,70,68,24,25,26,24,25,26,63,70,70,70,70,70,70
71,71,71,71,71,71,71,70,70,70,70,70,70,71,71,71,71,71,71,71
