86,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
60,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,19
60,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,19,12
60,4,49,57,57,57,76,61,61,59,29,29,29,29,29,29,29,19,12,12
60,4,29,29,4,29,54,62,62,80,61,61,61,61,61,61,61,61,61,61
60,29,29,29,4,29,50,58,58,58,58,58,58,58,58,58,58,58,82,62
60,29,29,29,4,29,29,29,4,29,29,29,29,29,29,29,29,29,50,82
56,29,29,29,29,29,29,29,4,29,29,29,29,29,29,29,29,29,29,54
17,29,29,29,29,29,29,29,4,3,3,29,29,29,29,29,29,29,29,54
8,17,29,29,29,29,29,29,49,57,57,55,29,29,29,29,29,29,29,54
8,8,17,29,29,29,29,29,29,29,29,29,29,29,29,29,53,61,61,79
61,61,59,29,29,29,29,29,29,29,29,29,29,29,29,29,54,62,62,62
62,62,60,29,29,29,29,29,29,29,29,29,53,61,61,61,79,62,62,62
62,62,60,29,29,29,29,29,29,29,29,29,54,62,62,62,62,62,62,62
62,62,80,61,61,61,61,61,61,61,61,61,79,62,62,62,62,62,62,62
